xflr5,v6.57

Calculated,polar,for:,EPPLER,330,AIRFOIL

1,1,Reynolds,number,fixed,Mach,number,fixed

xtrf,=,1.000,(top),1.000,(bottom)
Mach,=,0.000,Re,=,0.100,e,6,Ncrit,=,9.000

alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------
-14.000,-0.5970,0.17372,0.16885,0.0435,1.0000,0.0508,-1.5594,0.0000,0.0000,0.0000,0.3135
-13.750,-0.5914,0.17052,0.16557,0.0417,1.0000,0.0523,-1.5715,0.0000,0.0000,0.0000,0.3114
-13.500,-0.5864,0.16748,0.16255,0.0397,1.0000,0.0539,-1.5871,0.0000,0.0000,0.0000,0.3089
-13.250,-0.5826,0.16477,0.15986,0.0375,1.0000,0.0555,-1.6137,0.0000,0.0000,0.0000,0.3057
-13.000,-0.5809,0.16268,0.15781,0.0346,1.0000,0.0571,-1.6571,0.0000,0.0000,0.0000,0.3013
-12.750,-0.5806,0.16101,0.15617,0.0314,1.0000,0.0582,-1.7094,0.0000,0.0000,0.0000,0.2962
-12.500,-0.5794,0.15900,0.15420,0.0285,1.0000,0.0589,-1.7538,0.0000,0.0000,0.0000,0.2916
-12.250,-0.5769,0.15639,0.15163,0.0261,1.0000,0.0593,-1.7899,0.0000,0.0000,0.0000,0.2878
-12.000,-0.5739,0.15337,0.14863,0.0238,1.0000,0.0595,-1.8210,0.0000,0.0000,0.0000,0.2844
-11.750,-0.5713,0.15009,0.14538,0.0216,1.0000,0.0597,-1.8529,0.0000,0.0000,0.0000,0.2809
-11.500,-0.5689,0.14659,0.14192,0.0194,1.0000,0.0598,-1.8862,0.0000,0.0000,0.0000,0.2773
-11.250,-0.5668,0.14289,0.13824,0.0170,1.0000,0.0599,-1.9213,0.0000,0.0000,0.0000,0.2735
-11.000,-0.5632,0.13077,0.12620,0.0180,1.0000,0.0629,-1.9337,0.0000,0.0000,0.0000,0.2755
-10.750,-0.5472,0.12631,0.12173,0.0201,1.0000,0.0657,-1.8156,0.0000,0.0000,0.0000,0.2802
-10.500,-0.5390,0.12266,0.11811,0.0199,1.0000,0.0681,-1.7713,0.0000,0.0000,0.0000,0.2806
-10.250,-0.5337,0.11907,0.11455,0.0190,1.0000,0.0705,-1.7553,0.0000,0.0000,0.0000,0.2794
-10.000,-0.5302,0.11544,0.11095,0.0176,1.0000,0.0730,-1.7560,0.0000,0.0000,0.0000,0.2772
-9.750,-0.5283,0.11175,0.10731,0.0159,1.0000,0.0755,-1.7692,0.0000,0.0000,0.0000,0.2742
-9.500,-0.5278,0.10802,0.10362,0.0137,1.0000,0.0780,-1.7941,0.0000,0.0000,0.0000,0.2705
-9.250,-0.5295,0.10427,0.09992,0.0110,1.0000,0.0805,-1.8342,0.0000,0.0000,0.0000,0.2655
-9.000,-0.5339,0.10048,0.09619,0.0071,1.0000,0.0829,-1.8955,0.0000,0.0000,0.0000,0.2583
-8.750,-0.5434,0.09658,0.09233,0.0018,1.0000,0.0846,-1.9819,0.0000,0.0000,0.0000,0.2486
-8.500,-0.5587,0.09393,0.08966,-0.0009,1.0000,0.0859,-2.0663,0.0000,0.0000,0.0000,0.2442
-8.250,-0.5718,0.09291,0.08859,-0.0006,1.0000,0.0871,-2.1225,0.0000,0.0000,0.0000,0.2449
-8.000,-0.5778,0.09143,0.08699,-0.0002,1.0000,0.0878,-2.1558,0.0000,0.0000,0.0000,0.2458
-7.750,-0.5799,0.08915,0.08460,0.0005,1.0000,0.0882,-2.1767,0.0000,0.0000,0.0000,0.2472
-7.500,-0.5934,0.08042,0.07586,-0.0001,1.0000,0.0899,-2.2811,0.0000,0.0000,0.0000,0.2463
-7.250,-0.5829,0.07232,0.06796,-0.0004,1.0000,0.0939,-2.2118,0.0000,0.0000,0.0000,0.2458
-7.000,-0.5717,0.06864,0.06435,0.0005,1.0000,0.0976,-2.1389,0.0000,0.0000,0.0000,0.2474
-6.750,-0.5638,0.06561,0.06132,0.0015,1.0000,0.1020,-2.1005,0.0000,0.0000,0.0000,0.2493
-6.500,-0.5563,0.06307,0.05870,0.0026,1.0000,0.1080,-2.0796,0.0000,0.0000,0.0000,0.2513
-6.000,-0.5495,0.05990,0.05500,0.0062,1.0000,0.1252,-2.1107,0.0000,0.0000,0.0000,0.2581
-5.750,-0.5415,0.05327,0.04858,0.0067,1.0000,0.1327,-2.0602,0.0000,0.0000,0.0000,0.2593
-5.500,-0.5285,0.05018,0.04558,0.0081,1.0000,0.1414,-1.9927,0.0000,0.0000,0.0000,0.2623
-5.250,-0.5175,0.04770,0.04305,0.0097,1.0000,0.1523,-1.9564,0.0000,0.0000,0.0000,0.2658
-5.000,-0.5162,0.04625,0.04132,0.0125,1.0000,0.1741,-1.9527,0.0000,0.0000,0.0000,0.2714
-4.750,-0.5122,0.04357,0.03887,0.0151,1.0000,0.1802,-1.9089,0.0000,0.0000,0.0000,0.2766
-4.500,-0.4766,0.03999,0.03517,0.0115,0.9714,0.2111,-1.8317,0.0000,0.0000,0.0000,0.2712
-4.250,-0.4333,0.03617,0.03109,0.0081,0.9413,0.2231,-1.7663,0.0000,0.0000,0.0000,0.2659
-4.000,-0.3604,0.02907,0.02165,0.0088,0.9206,0.0566,-2.3913,0.0000,0.0000,0.0000,0.2709
