xflr5,v6.57

Calculated,polar,for:,NACA,0010

1,1,Reynolds,number,fixed,Mach,number,fixed

xtrf,=,1.000,(top),1.000,(bottom)
Mach,=,0.000,Re,=,0.100,e,6,Ncrit,=,9.000

alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------
-15.000,-0.6825,0.18977,0.18346,0.0402,1.0000,0.0716,-1.3360,0.0000,0.0000,0.0000,0.2968
-14.750,-0.6874,0.18990,0.18361,0.0361,1.0000,0.0735,-1.4124,0.0000,0.0000,0.0000,0.2908
-14.500,-0.6887,0.18778,0.18150,0.0327,1.0000,0.0742,-1.4663,0.0000,0.0000,0.0000,0.2860
-14.250,-0.6874,0.18440,0.17814,0.0300,1.0000,0.0746,-1.5005,0.0000,0.0000,0.0000,0.2826
-14.000,-0.6850,0.18033,0.17408,0.0278,1.0000,0.0748,-1.5265,0.0000,0.0000,0.0000,0.2797
-13.750,-0.6826,0.17586,0.16962,0.0256,1.0000,0.0749,-1.5520,0.0000,0.0000,0.0000,0.2769
-13.500,-0.6803,0.17107,0.16485,0.0236,1.0000,0.0750,-1.5776,0.0000,0.0000,0.0000,0.2741
-13.250,-0.6757,0.15979,0.15362,0.0246,1.0000,0.0773,-1.5725,0.0000,0.0000,0.0000,0.2759
-13.000,-0.6680,0.15477,0.14861,0.0245,1.0000,0.0784,-1.5466,0.0000,0.0000,0.0000,0.2765
-12.750,-0.6618,0.15019,0.14404,0.0240,1.0000,0.0795,-1.5331,0.0000,0.0000,0.0000,0.2764
-12.500,-0.6560,0.14580,0.13966,0.0235,1.0000,0.0809,-1.5247,0.0000,0.0000,0.0000,0.2761
-12.250,-0.6513,0.14158,0.13545,0.0227,1.0000,0.0829,-1.5254,0.0000,0.0000,0.0000,0.2754
-12.000,-0.6486,0.13730,0.13118,0.0215,1.0000,0.0855,-1.5460,0.0000,0.0000,0.0000,0.2739
-11.750,-0.6492,0.13249,0.12638,0.0197,1.0000,0.0875,-1.6007,0.0000,0.0000,0.0000,0.2713
-11.500,-0.6453,0.13647,0.13040,0.0150,1.0000,0.0996,-1.6168,0.0000,0.0000,0.0000,0.2647
-11.250,-0.6705,0.11537,0.10922,0.0126,1.0000,0.0657,-1.9948,0.0000,0.0000,0.0000,0.2597
-11.000,-0.6788,0.10888,0.10275,0.0093,1.0000,0.0664,-2.1034,0.0000,0.0000,0.0000,0.2549
-10.750,-0.6887,0.10199,0.09589,0.0056,1.0000,0.0666,-2.2166,0.0000,0.0000,0.0000,0.2494
-10.500,-0.7004,0.09455,0.08847,0.0014,1.0000,0.0662,-2.3400,0.0000,0.0000,0.0000,0.2435
