xflr5,v6.57

Calculated,polar,for:,NACA,0012,AIRFOIL

1,1,Reynolds,number,fixed,Mach,number,fixed

xtrf,=,1.000,(top),1.000,(bottom)
Mach,=,0.000,Re,=,0.100,e,6,Ncrit,=,9.000

alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------
-15.000,-0.6947,0.18304,0.17752,0.0233,1.0000,0.1098,-1.8220,0.0000,0.0000,0.0000,0.2689
-14.750,-0.6800,0.17649,0.17097,0.0240,1.0000,0.1114,-1.7791,0.0000,0.0000,0.0000,0.2707
-14.500,-0.6582,0.17187,0.16627,0.0255,1.0000,0.1138,-1.6862,0.0000,0.0000,0.0000,0.2744
-14.250,-0.6487,0.16841,0.16280,0.0251,1.0000,0.1169,-1.6588,0.0000,0.0000,0.0000,0.2745
-14.000,-0.6463,0.16499,0.15938,0.0234,1.0000,0.1212,-1.6743,0.0000,0.0000,0.0000,0.2724
-13.750,-0.6796,0.16276,0.15725,0.0157,1.0000,0.1254,-1.8885,0.0000,0.0000,0.0000,0.2598
-13.500,-0.6710,0.15671,0.15121,0.0155,1.0000,0.1268,-1.8759,0.0000,0.0000,0.0000,0.2600
-13.250,-0.6457,0.15276,0.14720,0.0181,1.0000,0.1293,-1.7578,0.0000,0.0000,0.0000,0.2650
-13.000,-0.6351,0.14934,0.14377,0.0181,1.0000,0.1329,-1.7200,0.0000,0.0000,0.0000,0.2657
-12.750,-0.6360,0.14563,0.14007,0.0162,1.0000,0.1381,-1.7453,0.0000,0.0000,0.0000,0.2629
-12.500,-0.6846,0.14112,0.13569,0.0062,1.0000,0.1421,-2.0256,0.0000,0.0000,0.0000,0.2470
-12.250,-0.6565,0.13558,0.13010,0.0096,1.0000,0.1440,-1.9018,0.0000,0.0000,0.0000,0.2527
-12.000,-0.6288,0.13342,0.12790,0.0128,1.0000,0.1496,-1.7586,0.0000,0.0000,0.0000,0.2586
-11.750,-0.6424,0.12943,0.12394,0.0091,1.0000,0.1574,-1.8361,0.0000,0.0000,0.0000,0.2529
-11.500,-0.6805,0.12319,0.11781,0.0012,1.0000,0.1592,-2.0500,0.0000,0.0000,0.0000,0.2408
-11.250,-0.8922,0.06525,0.05941,-0.0330,1.0000,0.0748,-3.8564,0.0000,0.0000,0.0000,0.2011
-11.000,-0.9309,0.05997,0.05383,-0.0313,1.0000,0.0737,-4.0107,0.0000,0.0000,0.0000,0.2049
-10.750,-0.9546,0.05549,0.04899,-0.0287,1.0000,0.0733,-4.1032,0.0000,0.0000,0.0000,0.2087
-10.500,-0.9638,0.05168,0.04484,-0.0264,1.0000,0.0737,-4.1293,0.0000,0.0000,0.0000,0.2117
-10.250,-0.9656,0.04830,0.04114,-0.0242,1.0000,0.0746,-4.1198,0.0000,0.0000,0.0000,0.2142
-10.000,-0.9629,0.04527,0.03776,-0.0221,1.0000,0.0761,-4.0878,0.0000,0.0000,0.0000,0.2166
-9.750,-0.9579,0.04279,0.03488,-0.0199,1.0000,0.0789,-4.0384,0.0000,0.0000,0.0000,0.2190
-9.500,-0.9528,0.04080,0.03231,-0.0172,1.0000,0.0816,-3.9938,0.0000,0.0000,0.0000,0.2220
-9.250,-0.9374,0.03766,0.02916,-0.0163,1.0000,0.0848,-3.8860,0.0000,0.0000,0.0000,0.2229
