xflr5,v6.57

Calculated,polar,for:,NACA,63-206

1,1,Reynolds,number,fixed,Mach,number,fixed

xtrf,=,1.000,(top),1.000,(bottom)
Mach,=,0.000,Re,=,0.100,e,6,Ncrit,=,9.000

alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------
-12.750,-0.5194,0.15035,0.14403,0.0032,1.0000,0.0456,-1.1721,0.0000,0.0000,0.0000,0.2525
-12.500,-0.5158,0.14781,0.14151,0.0015,1.0000,0.0470,-1.1930,0.0000,0.0000,0.0000,0.2495
-12.250,-0.5142,0.14594,0.13965,-0.0003,1.0000,0.0482,-1.2253,0.0000,0.0000,0.0000,0.2460
-12.000,-0.5137,0.14438,0.13813,-0.0024,1.0000,0.0490,-1.2645,0.0000,0.0000,0.0000,0.2422
-11.750,-0.5131,0.14272,0.13649,-0.0044,1.0000,0.0496,-1.3023,0.0000,0.0000,0.0000,0.2384
-11.500,-0.5119,0.14074,0.13455,-0.0062,1.0000,0.0500,-1.3350,0.0000,0.0000,0.0000,0.2349
-11.250,-0.5102,0.13843,0.13227,-0.0080,1.0000,0.0502,-1.3629,0.0000,0.0000,0.0000,0.2316
-11.000,-0.5077,0.13578,0.12965,-0.0096,1.0000,0.0504,-1.3845,0.0000,0.0000,0.0000,0.2286
-10.750,-0.5053,0.13295,0.12685,-0.0111,1.0000,0.0506,-1.4068,0.0000,0.0000,0.0000,0.2255
-10.500,-0.5033,0.13000,0.12394,-0.0127,1.0000,0.0507,-1.4301,0.0000,0.0000,0.0000,0.2225
-10.250,-0.4804,0.11610,0.11008,-0.0092,1.0000,0.0567,-1.2652,0.0000,0.0000,0.0000,0.2284
-10.000,-0.4742,0.11262,0.10663,-0.0094,1.0000,0.0596,-1.2306,0.0000,0.0000,0.0000,0.2277
-9.750,-0.4704,0.10941,0.10346,-0.0101,1.0000,0.0623,-1.2204,0.0000,0.0000,0.0000,0.2261
-9.500,-0.4679,0.10630,0.10039,-0.0111,1.0000,0.0650,-1.2230,0.0000,0.0000,0.0000,0.2241
-9.250,-0.4665,0.10331,0.09744,-0.0123,1.0000,0.0676,-1.2364,0.0000,0.0000,0.0000,0.2216
-9.000,-0.4668,0.10056,0.09474,-0.0138,1.0000,0.0701,-1.2628,0.0000,0.0000,0.0000,0.2185
-8.750,-0.4697,0.09827,0.09250,-0.0159,1.0000,0.0723,-1.3087,0.0000,0.0000,0.0000,0.2144
-8.500,-0.4751,0.09655,0.09084,-0.0184,1.0000,0.0738,-1.3697,0.0000,0.0000,0.0000,0.2096
-8.250,-0.4832,0.09477,0.08914,-0.0208,1.0000,0.0745,-1.4327,0.0000,0.0000,0.0000,0.2055
-8.000,-0.4939,0.09266,0.08709,-0.0228,1.0000,0.0748,-1.4930,0.0000,0.0000,0.0000,0.2026
-7.750,-0.5042,0.09035,0.08480,-0.0250,1.0000,0.0750,-1.5556,0.0000,0.0000,0.0000,0.1993
-7.500,-0.5090,0.08826,0.08265,-0.0269,1.0000,0.0754,-1.6060,0.0000,0.0000,0.0000,0.1962
-7.250,-0.5109,0.08596,0.08026,-0.0283,1.0000,0.0757,-1.6455,0.0000,0.0000,0.0000,0.1937
-7.000,-0.4860,0.07561,0.07029,-0.0213,1.0000,0.0856,-1.4042,0.0000,0.0000,0.0000,0.2051
-6.750,-0.4856,0.07268,0.06737,-0.0231,1.0000,0.0896,-1.4113,0.0000,0.0000,0.0000,0.2016
-6.500,-0.4822,0.07065,0.06527,-0.0257,1.0000,0.0949,-1.4308,0.0000,0.0000,0.0000,0.1959
-6.250,-0.4687,0.07340,0.06777,-0.0273,1.0000,0.1004,-1.4071,0.0000,0.0000,0.0000,0.1910
-6.000,-0.4778,0.06400,0.05833,-0.0307,1.0000,0.1040,-1.5138,0.0000,0.0000,0.0000,0.1851
-5.750,-0.4733,0.05696,0.05148,-0.0299,1.0000,0.1116,-1.4566,0.0000,0.0000,0.0000,0.1864
-5.500,-0.4618,0.05355,0.04815,-0.0285,1.0000,0.1209,-1.3725,0.0000,0.0000,0.0000,0.1878
-5.250,-0.4479,0.05041,0.04491,-0.0293,1.0000,0.1338,-1.3306,0.0000,0.0000,0.0000,0.1842
-5.000,-0.4337,0.04693,0.04105,-0.0324,1.0000,0.1575,-1.3309,0.0000,0.0000,0.0000,0.1748
-4.750,-0.4206,0.04269,0.03706,-0.0303,1.0000,0.1717,-1.2374,0.0000,0.0000,0.0000,0.1776
-4.500,-0.4044,0.03960,0.03380,-0.0311,1.0000,0.2108,-1.1786,0.0000,0.0000,0.0000,0.1727
-4.250,-0.3866,0.03650,0.03084,-0.0292,1.0000,0.2307,-1.1134,0.0000,0.0000,0.0000,0.1743
-4.000,-0.3210,0.02727,0.01932,-0.0342,1.0000,0.0604,-1.5929,0.0000,0.0000,0.0000,0.1428
-3.750,-0.1387,0.00000,-0.00238,-0.0305,0.8209,0.0552,-0.6325,0.0000,0.0000,0.0000,0.0387
-3.500,-0.1625,0.00000,-0.00223,-0.0274,0.8961,0.0564,-0.6243,0.0000,0.0000,0.0000,0.0883
-3.250,-0.1759,0.00000,-0.00245,-0.0286,0.8817,0.0551,-0.6828,0.0000,0.0000,0.0000,0.0930
-3.000,-0.1618,0.00000,-0.00285,-0.0332,0.8688,0.0530,-0.7291,0.0000,0.0000,0.0000,0.0507
-2.750,-0.1497,0.00000,-0.00259,-0.0307,0.8489,0.0574,-0.6479,0.0000,0.0000,0.0000,0.0508
-2.500,-0.1340,0.00000,-0.00277,-0.0348,0.8483,0.0782,-0.5494,0.0000,0.0000,0.0000,-0.0037
-2.250,-0.1289,0.00000,-0.00295,-0.0348,0.8434,0.0791,-0.5049,0.0000,0.0000,0.0000,-0.0140
-2.000,-0.1254,0.00000,-0.00300,-0.0330,0.8240,0.0805,-0.4760,0.0000,0.0000,0.0000,-0.0077
-1.750,-0.1180,0.00000,-0.00274,-0.0294,0.7974,0.0838,-0.4135,0.0000,0.0000,0.0000,0.0063
-1.500,-0.1166,0.00000,-0.00285,-0.0281,0.7876,0.0870,-0.4268,0.0000,0.0000,0.0000,0.0137
-1.250,-0.0999,0.00000,-0.00264,-0.0255,0.7484,0.1015,-0.3615,0.0000,0.0000,0.0000,-0.0004
-1.000,-0.1050,0.00000,-0.00275,-0.0230,0.7391,0.1103,-0.4007,0.0000,0.0000,0.0000,0.0342
-0.750,-0.0843,0.00000,-0.00167,-0.0174,0.6993,0.4201,-0.3916,0.0000,0.0000,0.0000,0.0473
-0.500,-0.0879,0.00000,-0.00170,-0.0101,0.6972,0.4651,-0.3379,0.0000,0.0000,0.0000,0.1377
-0.250,-0.0913,0.00000,-0.00180,-0.0084,0.6860,0.5079,-0.3323,0.0000,0.0000,0.0000,0.1589
0.000,-0.0895,0.00000,-0.00184,-0.0043,0.6398,0.5220,-0.2771,0.0000,0.0000,0.0000,0.2026
