Mach,Alpha,Cd,Ca,Ca,Cl,Cn,Can,Cp,Cp,Re
0.1,0,0.201,0.201,0.201,0,0,4.858,47.363,47.363,"4,193,329"
0.5,0,0.2,0.2,0.2,0,0,4.858,47.363,47.363,"20,966,650"
1.1,0,0.486,0.486,0.486,0,0,8.527,55.127,54.554,"46,126,620"
2,0,0.391,0.391,0.391,0,0,5.161,43.806,43.668,"83,866,580"
5,0,0.254,0.254,0.254,0,0,3.659,36.383,36.48,"209,666,500"
0.1,1,0.202,0.201,0.201,0.081,0.085,4.858,47.363,47.363,"4,193,329"
0.5,1,0.201,0.2,0.2,0.081,0.085,4.858,47.363,47.363,"20,966,650"
1.1,1,0.489,0.486,0.486,0.136,0.144,8.527,54.979,54.554,"46,126,620"
2,1,0.392,0.391,0.391,0.08,0.087,5.161,43.761,43.668,"83,866,580"
5,1,0.255,0.254,0.254,0.06,0.064,3.659,36.5,36.48,"209,666,500"
0.1,2,0.207,0.201,0.201,0.162,0.17,4.858,47.363,47.363,"4,193,329"
0.5,2,0.206,0.2,0.2,0.162,0.17,4.858,47.363,47.363,"20,966,650"
1.1,2,0.497,0.487,0.487,0.274,0.292,8.527,54.834,54.554,"46,126,620"
2,2,0.397,0.391,0.391,0.163,0.177,5.161,43.717,43.668,"83,866,580"
5,2,0.259,0.254,0.254,0.12,0.129,3.659,36.524,36.48,"209,666,500"
0.1,3,0.214,0.201,0.201,0.243,0.254,4.858,47.363,47.363,"4,193,329"
0.5,3,0.213,0.2,0.2,0.244,0.254,4.858,47.363,47.363,"20,966,650"
1.1,3,0.51,0.487,0.487,0.416,0.442,8.527,54.692,54.554,"46,126,620"
2,3,0.405,0.392,0.392,0.248,0.269,5.161,43.678,43.668,"83,866,580"
5,3,0.264,0.255,0.255,0.177,0.191,3.659,36.456,36.48,"209,666,500"
0.1,4,0.225,0.202,0.202,0.324,0.339,4.858,47.363,47.363,"4,193,329"
0.5,4,0.224,0.201,0.201,0.324,0.339,4.858,47.363,47.363,"20,966,650"
1.1,4,0.529,0.488,0.488,0.56,0.595,8.527,54.554,54.554,"46,126,620"
