Mach,Alpha,Cd,Cl,Cn,Cna,Cp,Rey
0.01,0,0.236,0,0,6.607,51.371,"419,333"
0.02,0,0.219,0,0,6.607,51.371,"838,666"
0.03,0,0.214,0,0,6.607,51.371,"1,257,999"
0.04,0,0.211,0,0,6.607,51.371,"1,677,332"
0.05,0,0.208,0,0,6.607,51.371,"2,096,665"
0.06,0,0.206,0,0,6.607,51.371,"2,515,998"
0.07,0,0.204,0,0,6.607,51.371,"2,935,330"
0.08,0,0.203,0,0,6.607,51.371,"3,354,663"
0.09,0,0.201,0,0,6.607,51.371,"3,773,996"
0.1,0,0.2,0,0,6.607,51.371,"4,193,329"
0.11,0,0.199,0,0,6.607,51.371,"4,612,662"
0.12,0,0.198,0,0,6.607,51.371,"5,031,995"
0.13,0,0.197,0,0,6.607,51.371,"5,451,328"
0.14,0,0.197,0,0,6.607,51.371,"5,870,661"
0.15,0,0.196,0,0,6.607,51.371,"6,289,994"
0.16,0,0.195,0,0,6.607,51.371,"6,709,326"
0.17,0,0.195,0,0,6.607,51.371,"7,128,660"
0.18,0,0.194,0,0,6.607,51.371,"7,547,993"
0.19,0,0.194,0,0,6.607,51.371,"7,967,326"
0.2,0,0.193,0,0,6.607,51.371,"8,386,658"
0.21,0,0.193,0,0,6.607,51.371,"8,805,991"
0.22,0,0.192,0,0,6.607,51.371,"9,225,324"
0.23,0,0.193,0,0,6.607,51.371,"9,644,657"
0.24,0,0.193,0,0,6.607,51.371,"10,063,990"
0.25,0,0.194,0,0,6.607,51.371,"10,483,320"
0.26,0,0.194,0,0,6.607,51.371,"10,902,660"
0.27,0,0.194,0,0,6.607,51.371,"11,321,990"
0.28,0,0.195,0,0,6.607,51.371,"11,741,320"
0.29,0,0.195,0,0,6.607,51.371,"12,160,650"
0.3,0,0.195,0,0,6.607,51.371,"12,579,990"
0.31,0,0.196,0,0,6.607,51.371,"12,999,320"
0.32,0,0.196,0,0,6.607,51.371,"13,418,650"
0.33,0,0.196,0,0,6.607,51.371,"13,837,990"
0.34,0,0.197,0,0,6.607,51.371,"14,257,320"
0.35,0,0.197,0,0,6.607,51.371,"14,676,650"
0.36,0,0.197,0,0,6.607,51.371,"15,095,990"
0.37,0,0.197,0,0,6.607,51.371,"15,515,320"
0.38,0,0.197,0,0,6.607,51.371,"15,934,650"
0.39,0,0.198,0,0,6.607,51.371,"16,353,980"
0.4,0,0.198,0,0,6.607,51.371,"16,773,320"
0.41,0,0.198,0,0,6.607,51.371,"17,192,650"
0.42,0,0.198,0,0,6.607,51.371,"17,611,980"
0.43,0,0.198,0,0,6.607,51.371,"18,031,320"
0.44,0,0.198,0,0,6.607,51.371,"18,450,650"
0.45,0,0.198,0,0,6.607,51.371,"18,869,980"
0.46,0,0.199,0,0,6.607,51.371,"19,289,310"
0.47,0,0.199,0,0,6.607,51.371,"19,708,650"
0.48,0,0.199,0,0,6.607,51.371,"20,127,980"
